epoch,train_loss,val_loss
1,1.3061,0.9650
2,0.8511,0.8230
3,0.7275,0.7417
4,0.6549,0.6932
5,0.6018,0.6724
6,0.5600,0.6548
7,0.5235,0.6466
8,0.4906,0.6366
9,0.4608,0.6327
10,0.4329,0.6381
11,0.4064,0.6402
12,0.3831,0.6455
13,0.3596,0.6635
14,0.3391,0.6487
15,0.3201,0.6590
16,0.3027,0.6677
17,0.2867,0.6744
18,0.2726,0.6849
