endothelial
OLFML3
TNFSF4
PLXNA2
HECW2
PCDH12
PODXL
GIMAP8
ANGPT2
ADGRA2
PALD1
MCAM
MGP
LHFP
KCTD12
NID2
VASH1
FLRT2
LINC01197
PECAM1
PTGIS
