Tumor_cell
CEACAM1
MUC1
MLANA
EPCAM
CAGE1
CCNB1
PRAME
PMEL
CDK4
MAGEA11
MAGEA9
MAGEA8
MAGEA4
MAGEA10
MAGEA3
MAGEA2B
MAGEA12
MAGEA2
MAGEA6
MAGEA1
KRT8
KRT18
KRT9
CDH1
CDH11
MYC
CA9
