Stroma_cell
TNFRSF18
TNFRSF4
GABRD
RBP7
TNFRSF8
TNFRSF1B
PDPN
IGSF21
PLA2G2D
C1QA
C1QC
C1QB
FAM110D
CD52
ZNF683
FCN3
FGR
THEMIS2
PTAFR
LAPTM5
FAM167B
LCK
GJA4
CSF3R
GRIK3
HEYL
TIE1
TAL1
PODN
PDE4B
ADGRL4
GBP4
GBP5
GFI1
PLPPR4
PALMD
S1PR1
CD53
C1orf162
TMIGD3
ADORA3
PTPN22
CD2
FAM46C
FCGR1B
FCGR1C
ANKRD35
GJA5
FCGR1A
PLEKHO1
CTSS
TNFAIP8L2
S100A9
S100A12
S100A8
SHE
KCNN3
FCRL5
FCRL3
CD1D
MNDA
PYHIN1
FCRL6
SLAMF8
C1orf204
SLAMF6
CD84
SLAMF1
CD48
SLAMF7
LY9
CD244
ARHGAP30
ADAMTS4
FCER1G
FCGR2A
FCGR3A
FCGR2C
HSPA7
FCGR3B
FCGR2B
OLFML2B
CD247
RCSD1
SELL
PRRX1
FMO3
FASLG
GLUL
RGS16
NPL
NCF2
HMCN1
RGS18
RGS1
PTPRC
NR5A2
PTPN7
CHIT1
KLHDC8A
RASSF5
IL10
FCMR
CR1
CD34
HSD11B1
NLRP3
POMC
EMILIN1
PLB1
NLRC4
CNRIP1
PLEK
ARHGAP25
DYSF
GNLY
ATOH8
CD8A
CD8B
IGKC
IGKV1-8
IGKV1-12
IGKV4-1
IGKV1-5
IGKV1-6
IGKV1-9
IGKV3-11
IGKV3-15
IGKV1-16
IGKV1-17
IGKV3-20
IGKV2-24
IGKV1-27
IGKV2-28
IGKV2-30
IGKV1-33
IGKV1-39
IGKV1D-39
IGKV1D-33
IGKV2D-30
IGKV2D-29
IGKV2D-28
IGKV3D-20
IGKV3D-15
IGKV3D-11
IGKV1D-12
DUSP2
ITPRIPL1
ZAP70
IL18RAP
MERTK
IL1RN
MARCO
ARHGAP15
KIF5C
CYTIP
CD302
FAP
CYBRD1
RAPGEF4
CCDC141
ITGA4
CALCRL
COL3A1
HECW2
RFTN2
CD28
CTLA4
ICOS
CXCR2P1
CXCR2
CXCR1
SLC11A1
KCNE4
FAM124B
DOCK10
SP140
NMUR1
INPP5D
PDCD1
SLC6A1
FBLN2
GALNT15
RARB
EOMES
CCR4
ITGA9
CX3CR1
CXCR6
XCR1
CCR1
CCR2
CCR5
CCRL2
SEMA3F
STAB1
VGLL3
EPHA3
TRAT1
CD96
BTLA
CD200R1
SIDT1
TIGIT
CD80
HCLS1
CD86
CSTA
PARP15
EFCC1
RBP1
SLC9A9
CPA3
GPR171
P2RY14
P2RY13
P2RY12
P2RY1
KLHL6
C3orf70
NRROS
ZNF518B
CD38
LDB2
DTHD1
TLR10
TLR1
TMEM156
RHOH
KDR
HOPX
JCHAIN
CXCL9
CXCL10
CXCL11
CXCL13
LINC01094
RASGEF1B
HPSE
SPARCL1
IBSP
ABCG2
MMRN1
HPGDS
UNC5C
DAPP1
EMCN
SYNPO2
PCDH18
EDNRA
TLR2
SFRP2
FAM198B
RXFP1
1-Mar
TLL1
PDLIM3
IL7R
SLC1A3
FYB
PTGER4
CCDC152
SEPP1
EMB
ESM1
GZMK
GZMA
GAPT
CD180
ZNF366
HAPLN1
MEF2C
ST8SIA4
ECSCR
CD14
PCDH12
CSF1R
PDGFRB
CD74
ITK
EBF1
DOCK2
C5orf58
LCP2
KCNMB1
HK3
ADAMTS2
FLT4
BTNL9
IRF4
F13A1
LY86
GFOD1
FAM65B
CMAHP
NOTCH4
HLA-DRA
HLA-DRB5
HLA-DRB1
HLA-DQA1
HLA-DQB1
HLA-DQB1-AS1
HLA-DOA
HLA-DPA1
HLA-DPB1
DEF6
FKBP5
CPNE5
FGD2
TREM2
PLA2G7
ADGRF5
COL21A1
FHL5
PRDM1
SCML4
FAM26F
FAM162B
PLN
HEY2
THEMIS
STX11
CCDC170
MYCT1
TAGAP
FNDC1
SMOC2
TWIST1
GPNMB
AOAH
ELMO1
ELMO1-AS1
GPR141
TRGC2
TRGC1
TRG-AS1
MYO1G
RAMP3
IKZF1
NCF1B
LAT2
NCF1
NCF1C
FGL2
CD36
STEAP4
COL1A2
PDK4
DLX5
GAL3ST4
PCOLCE-AS1
PIK3CG
CPED1
LRRC4
CLEC5A
TRBC1
TRBC2
GIMAP8
GIMAP7
GIMAP4
GIMAP6
GIMAP2
GIMAP1
GIMAP5
ANGPT2
SOX7
MSR1
LPL
LZTS1
DOK2
ADAMDEC1
EBF2
HTRA4
IDO1
C8orf4
SOX17
BHLHE22
SULF1
LY96
HEY1
GDF6
ANGPT1
ENPP2
LINC00861
TMEM71
SLA
GPIHBP1
PDCD1LG2
IL33
LINC01235
TEK
CCL19
CCL21
SIT1
KLF9
SYK
ASPN
FGD3
COL15A1
NR4A3
SLC31A2
AKNA
TNFSF8
TLR4
GGTA1P
ANGPTL2
SH2D3C
ENG
FAM78A
GBGT1
ADAMTSL2
COL5A1
FCN1
EGFL7
NRARP
IL2RA
SFMBT2
CELF2
ITGA8
MRC1
