NK_cell
"SH2D2A"
"CD244"
"GNLY"
"B3GNT7"
"NMUR1"
"COLQ"
"CX3CR1"
"CHST2"
"PRF1"
"ASCL2"
"PDGFD"
"KLRB1"
"KLRF1"
"KLRD1"
"TRDC"
"GZMB"
"PTGDR"
"IL21R"
"TBX21"
"GNGT2"
"ABI3"
"CD7"
"NKG7"
"CST7"
"IL2RB"
"DUSP4"
"SPN"
"TBXA2R"
"ADARB1"
